source,casnumber_grouped,chemicalname_grouped,scientificname,medium,test_class,endpoint,conc_value,conc_unit,acr_eligible,source_id,source_dataset,majorgroup
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,REP,100,ug/L,FALSE,8692,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,MORT,76,ug/L,TRUE,8693,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,MORT,47,ug/L,TRUE,8694,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,MORT,80,ug/L,TRUE,8695,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,MORT,170,ug/L,TRUE,8696,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,MORT,32,ug/L,TRUE,8697,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,IMM,76,ug/L,TRUE,8705,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,IMM,47,ug/L,TRUE,8706,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,IMM,80,ug/L,TRUE,8707,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,IMM,100,ug/L,TRUE,8708,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Daphnia magna,Freshwater,chronic,GRO,29,ug/L,FALSE,8715,2000,Crustacea
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Brachydanio rerio,Freshwater,subchronic,MORT,3100,ug/L,TRUE,8718,2000,Osteichthyes
anztox,60515,"Dimethoate;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",Brachydanio rerio,Freshwater,subchronic,MORT,5300,ug/L,TRUE,8719,2000,Osteichthyes
anztox,79005,"1,1,2-Trichloroethane;1,1,2-Trichloroethane",Lymnaea stagnalis,Freshwater,chronic,HAT,10000,ug/L,FALSE,8828,2000,ML
anztox,79005,"1,1,2-Trichloroethane;1,1,2-Trichloroethane",Daphnia magna,Freshwater,chronic,REP,26000,ug/L,FALSE,8829,2000,Crustacea
anztox,79005,"1,1,2-Trichloroethane;1,1,2-Trichloroethane",Daphnia magna,Freshwater,chronic,REP,18000,ug/L,FALSE,8830,2000,Crustacea
anztox,79005,"1,1,2-Trichloroethane;1,1,2-Trichloroethane",Daphnia magna,Freshwater,chronic,MORT,32000,ug/L,TRUE,8831,2000,Crustacea
anztox,79005,"1,1,2-Trichloroethane;1,1,2-Trichloroethane",Jordanella floridae,Freshwater,chronic,MORT,18000,ug/L,TRUE,8833,2000,OS
