raw_effect,normalised_effect_lower,effect_category_mapped,n_rows,mapping_rule
Mortality,mortality,MORT,45372,mortal|surviv|lethali|death|lethal
Population,population,POP,5648,populat|abundance|densit
Mortality/Growth,mortality growth,MORT,4848,mortal|surviv|lethali|death|lethal
Intoxication,intoxication,OTHER,4759,human_review
Growth,growth,GRO,3644,growth|biomass|yield|length|weight|area
"Mortality, Mortality",mortality mortality,MORT,2028,mortal|surviv|lethali|death|lethal
Reproduction,reproduction,REP,1691,reproduc|fertil|offspring|fecund|brood|egg|spawn
Immobilization: Change in the failure to respond or lack of movement after mechanical stimulation.,immobilization change in the failure to respond or lack of movement after mechanical stimulation,IMM,1164,immobil|mobil
Population Growth: Rate of growth. Equivalent to intrinsic rate of increase and maximum possible rate of growth for species. Calculated by relating biomass or abundance to time. Life table data and germination rates are included.,population growth rate of growth equivalent to intrinsic rate of increase and maximum possible rate of growth for species calculated by relating biomass or abundance to time life table data and germination rates are included,GRO,499,growth|biomass|yield|length|weight|area
"Intoxication, Immobile",intoxication immobile,IMM,345,immobil|mobil
"Population, Abundance",population abundance,POP,251,populat|abundance|densit
Development,development,DVP,235,develop|metamorph|differentiat
"Reproduction: Change in male and/or female reproductive ability, fertilization and fertilization rate. Includes vegetative reproductive processes.",reproduction change in male and or female reproductive ability fertilization and fertilization rate includes vegetative reproductive processes,REP,179,reproduc|fertil|offspring|fecund|brood|egg|spawn
"Mortality, Survival",mortality survival,MORT,164,mortal|surviv|lethali|death|lethal
"Development: Change in ability to grow to a more mature life stage and in time between separate life stages, molting, ability to germinate and cell cleavage.",development change in ability to grow to a more mature life stage and in time between separate life stages molting ability to germinate and cell cleavage,DVP,162,develop|metamorph|differentiat
"Growth, Length",growth length,GRO,129,growth|biomass|yield|length|weight|area
"Population, Population growth rate",population population growth rate,GRO,129,growth|biomass|yield|length|weight|area
"Growth, Weight",growth weight,GRO,125,growth|biomass|yield|length|weight|area
Photosynthesis: Change in plant productivity indicated by change in 14C or CO2 uptake or oxygen production.,photosynthesis change in plant productivity indicated by change in 14c or co2 uptake or oxygen production,PSE,105,photosyn|chlorophyll|pigment|physiol
Biomass: Productivity measurement equivalent to yield and standing crop. Total mass or weight of a living organism per area or volume measure either directly through dry weight or indirectly.,biomass productivity measurement equivalent to yield and standing crop total mass or weight of a living organism per area or volume measure either directly through dry weight or indirectly,GRO,99,growth|biomass|yield|length|weight|area
"Population Size Reduction: Quantifiable reduction in the population size. This effect appears in the database, but new records are coded to represent clearly defined effects under the major effect group POPCOM.",population size reduction quantifiable reduction in the population size this effect appears in the database but new records are coded to represent clearly defined effects under the major effect group popcom,POP,82,populat|abundance|densit
"Chlorophyll: Measurable change in chlorophyll content including chlorophyll a content, chlorosis.",chlorophyll measurable change in chlorophyll content including chlorophyll a content chlorosis,PSE,69,photosyn|chlorophyll|pigment|physiol
"Reproduction, Progeny counts/numbers",reproduction progeny counts numbers,REP,63,reproduc|fertil|offspring|fecund|brood|egg|spawn
