query_name,accepted_name,kingdom,phylum,class,order_taxon,family,genus,majorgroup,taxonomy_provenance,resolution_source
Ceratoneis closterium,Ceratoneis closterium,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Ceratoneis,Bacillariophyceae,worms_full,cache
Phaeodactylum tricornutum,Phaeodactylum tricornutum,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,Bacillariophyceae,worms_full,cache
Dunaliella tertiolecta,Dunaliella tertiolecta,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,Chlorophyceae,worms_full,cache
Tetraselmis sp.,Tetraselmis sp.,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,Chlorodendrophyceae,worms_full,cache
Hormosira banksii,Hormosira banksii,Chromista,Ochrophyta,Phaeophyceae,Fucales,Hormosiraceae,Hormosira,Phaeophyceae,worms_full,cache
Mytilus edulis,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Bivalvia,worms_full,cache
Saccostrea glomerata,Saccostrea glomerata,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Saccostrea,Bivalvia,worms_full,cache
Tisochrysis lutea,Tisochrysis lutea,Chromista,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysidaceae,Tisochrysis,Coccolithophyceae,worms_full,cache
Nassarius dorsatus,Nassarius dorsatus,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius,Gastropoda,worms_full,cache
Amphibalanus amphitrite,Amphibalanus amphitrite,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Thecostraca,worms_full,cache
Acropora tenuis,Acropora tenuis,Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,Hexacorallia,worms_full,cache
Ceramium tenuicorne,Ceramium tenuicorne,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Florideophyceae,worms_full,cache
Crassostrea gigas,Magallana gigas,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,Bivalvia,worms_full,cache
