raw_species,n_rows,sources,example_cas,worms_status,gbif_status,resolved_by,accepted_name,rank,kingdom,phylum,class,order,family,genus,habitat
Daphnia magna,28754,"anztox,envirotox,wqbench",60515,exact,NA,worms,Daphnia magna,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,brackish|freshwater
Danio rerio,23966,"anztox,envirotox,wqbench",138261413,exact,NA,worms,Danio rerio,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Danio,freshwater
Oncorhynchus mykiss,20188,"anztox,envirotox,wqbench",309002,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimephales promelas,17876,"anztox,envirotox,wqbench",2921882,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepomis macrochirus,12104,"anztox,envirotox,wqbench",309002,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprinus carpio,8249,"anztox,envirotox,wqbench",137268,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raphidocelis subcapitata,8043,"anztox,envirotox,wqbench",834128,exact,NA,worms,Raphidocelis subcapitata,Species,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Raphidocelis,freshwater
Oryzias latipes,6522,"anztox,envirotox,wqbench",137268,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xenopus laevis,4511,"anztox,envirotox,wqbench",7646799,exact,NA,worms,Xenopus laevis,Species,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,freshwater
Carassius auratus,4442,"anztox,envirotox,wqbench",309002,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriodaphnia dubia,4383,"anztox,envirotox,wqbench",115297,exact,NA,worms,Ceriodaphnia dubia,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,freshwater
