scientificname,sources,n_rows,is_genus_placeholder,is_non_binomial,taxonomy_source,filter_level_used,status,accepted_name,aphia_id,gbif_key,rank_resolved,resolved_kingdom,resolved_phylum,resolved_class,resolved_order,resolved_family,resolved_genus,habitat,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus,hierarchy_match,taxonomy_provenance,manual_correction_applied,manual_corrected_query_name,manual_correction_note
Daphnia magna,"anztox,envirotox,wqbench",28754,FALSE,FALSE,wqbench,class,exact_filtered,Daphnia magna,148372,NA,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,brackish|freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,TRUE,worms_full,FALSE,NA,NA
Danio rerio,"anztox,envirotox,wqbench",23966,FALSE,FALSE,wqbench,phylum,exact_filtered,Danio rerio,1026595,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Danio,freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,TRUE,worms_full,FALSE,NA,NA
Oncorhynchus mykiss,"anztox,envirotox,wqbench",20188,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Oncorhynchus mykiss,127185,NA,Species,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,worms_full,FALSE,NA,NA
Pimephales promelas,"anztox,envirotox,wqbench",17876,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Pimephales promelas,567543,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Pimephales,freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,TRUE,worms_full,FALSE,NA,NA
Lepomis macrochirus,"anztox,envirotox,wqbench",12104,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Lepomis macrochirus,1022846,NA,Species,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Lepomis,freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,TRUE,worms_full,FALSE,NA,NA
Cyprinus carpio,"anztox,envirotox,wqbench",8249,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Cyprinus carpio,154582,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Cyprinus,brackish|freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,TRUE,worms_full,FALSE,NA,NA
Raphidocelis subcapitata,"anztox,envirotox,wqbench",8043,FALSE,FALSE,wqbench,class,exact_filtered,Raphidocelis subcapitata,610914,NA,Species,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Raphidocelis,freshwater,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Raphidocelis,TRUE,worms_full,FALSE,NA,NA
Oryzias latipes,"anztox,envirotox,wqbench",6522,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Oryzias latipes,281941,NA,Species,Animalia,Chordata,Teleostei,Beloniformes,Adrianichthyidae,Oryzias,brackish|freshwater,Animalia,Chordata,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,TRUE,worms_full,FALSE,NA,NA
Xenopus laevis,"anztox,envirotox,wqbench",4511,FALSE,FALSE,wqbench,class,exact_filtered,Xenopus laevis,1476278,NA,Species,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,freshwater,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,TRUE,worms_full,FALSE,NA,NA
Carassius auratus,"anztox,envirotox,wqbench",4442,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Carassius auratus,154298,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Carassius,brackish|freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,TRUE,worms_full,FALSE,NA,NA
Ceriodaphnia dubia,"anztox,envirotox,wqbench",4383,FALSE,FALSE,wqbench,class,exact_filtered,Ceriodaphnia dubia,1302376,NA,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,TRUE,worms_full,FALSE,NA,NA
Ictalurus punctatus,"anztox,envirotox,wqbench",3856,FALSE,FALSE,wqbench,phylum,exact_filtered,Ictalurus punctatus,465537,NA,Species,Animalia,Chordata,Teleostei,Siluriformes,Ictaluridae,Ictalurus,freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,TRUE,worms_full,FALSE,NA,NA
Cyprinodon variegatus,"anztox,envirotox,wqbench",3234,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Cyprinodon variegatus,159285,NA,Species,Animalia,Chordata,Teleostei,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,TRUE,worms_full,FALSE,NA,NA
