scientificname,sources,n_rows,status,taxonomy_provenance,pre_resolved_kingdom,resolved_kingdom,pre_resolved_phylum,resolved_phylum,pre_resolved_class,resolved_class,pre_resolved_order,resolved_order,pre_resolved_family,resolved_family,pre_resolved_genus,resolved_genus,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus
Scenedesmus quadricauda,"anztox,envirotox,wqbench",787,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Chlorococcales,NA,Scenedesmaceae,NA,Scenedesmus,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Scenedesmus
Ulva fasciata,"envirotox,wqbench",194,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Ulotrichales,NA,Ulvaceae,NA,Ulva,Plantae,Chlorophyta,Chlorophyceae,Ulotrichales,Ulvaceae,Ulva
Navicula pelliculosa,"anztox,envirotox",106,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Pennales,NA,Naviculaceae,NA,NA,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Naviculaceae,NA
Cancer irroratus,wqbench,100,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Malacostraca,NA,Decapoda,NA,Cancridae,NA,Cancer,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
Nitzschia closterium,"anztox,envirotox,wqbench",88,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Pennales,NA,Bacillariaceae,NA,Nitzschia,Chromista,Bacillariophyta,Bacillariophyceae,Pennales,Bacillariaceae,Nitzschia
Zostera marina,"anztox,wqbench",64,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Magnoliophyta,NA,Liliopsida,NA,Najadales,NA,Zosteraceae,NA,Zostera,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,Zostera
Chaetoceros gracilis,"anztox,wqbench",63,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Centrales,NA,Chaetocerotaceae,NA,Chaetoceros,Chromista,Bacillariophyta,Bacillariophyceae,Centrales,Chaetocerotaceae,Chaetoceros
Zostera muelleri,"anztox,wqbench",60,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Magnoliophyta,NA,Liliopsida,NA,Najadales,NA,Zosteraceae,NA,Zostera,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,Zostera
Zostera capricorni,wqbench,47,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Magnoliophyta,NA,Liliopsida,NA,Najadales,NA,Zosteraceae,NA,Zostera,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,Zostera
Cyclops viridis,"anztox,envirotox,wqbench",42,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Arthropoda,NA,Maxillopoda,NA,Cyclopoida,NA,Cyclopidae,NA,Cyclops,Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,Cyclops
Chlamydomonas oblonga,wqbench,37,ambiguous_after_filter,ambiguous_partial,NA,Plantae,NA,Chlorophyta,NA,Chlorophyceae,NA,Volvocales,NA,Chlamydomonadaceae,NA,Chlamydomonas,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas
Geophagus brasiliensis,wqbench,35,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Cichlidae,NA,Geophagus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Geophagus
Tilapia guineensis,"envirotox,wqbench",35,ambiguous_after_filter,ambiguous_partial,NA,Animalia,NA,Chordata,NA,Actinopterygii,NA,Perciformes,NA,Cichlidae,NA,Tilapia,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Tilapia
Amphidinium operculatum,wqbench,28,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Pyrrophycophyta,NA,Dinophyceae,NA,Gymnodiniales,NA,Gymnodiniaceae,NA,Amphidinium,Chromista,Pyrrophycophyta,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium
Encyonema gracile,wqbench,25,ambiguous_after_filter,ambiguous_partial,NA,Chromista,NA,Bacillariophyta,NA,Bacillariophyceae,NA,Cymbellales,NA,Cymbellaceae,NA,Encyonema,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema
