source,scientificname,kingdom,phylum,subphylum,superclass,class,order_taxon,family,genus,common_name,source_majorgroup,source_minorgroup,source_trophic,source_ecological,source_animaltype,source_animalcategory,isheterotroph,ncbi_taxid
anztox,-,NA,NA,NA,NA,NA,NA,NA,NA,Cyclopoid copepod,CR,COPE,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Ablabesmyia monilis,NA,NA,NA,NA,NA,NA,NA,NA,Midge,NA,NA,NA,NA,NA,NA,NA,NA
anztox,Acanthodiaptomus denticornis,NA,NA,NA,NA,NA,NA,NA,NA,Calanoid copepod,CR,CALA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Acanthomysis costata,NA,NA,NA,NA,NA,NA,NA,NA,Mysid,CR,MYSI,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Acanthopagrus butcheri,NA,NA,NA,NA,NA,NA,NA,NA,Black bream,Osteichthyes,Perciformes,NA,NA,Fish,Fish,NA,NA
anztox,Acanthopagrus schlegeli,NA,NA,NA,NA,NA,NA,NA,NA,Porgy,OS,NA,NA,NA,Fish,Fish,NA,NA
anztox,Acartia tonsa,NA,NA,NA,NA,NA,NA,NA,NA,Calanoid copepod,CR,CALA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Achnanthes brevipes,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,AL,BACI,NA,NA,Plant,Diatom,NA,NA
anztox,Achnanthidium minutissimum,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Acorus gramineus,Plantae,Tracheophyta,NA,NA,Liliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrophytes,FALSE,NA
anztox,Acroneuria pacifica,NA,NA,NA,NA,NA,NA,NA,NA,Stone fly,IN,PLEC,NA,NA,Invertebrate,Insects,NA,NA
anztox,Acroneuria ruralis,NA,NA,NA,NA,NA,NA,NA,NA,Stonefly,IN,PLEC,NA,NA,Invertebrate,Insects,NA,NA
anztox,Acropora millepora,NA,NA,NA,NA,NA,NA,NA,NA,Coral,Cnidaria,Acroporidae,NA,NA,Invertebrate,Coral,NA,NA
anztox,Acropora tumida,Animalia,Cnidaria,NA,NA,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coral,TRUE,NA
