accepted_name,n_raw_names_in_group,raw_name,sources,n_rows,status,rank_resolved
Physella acuta,7,Physella acuta,"envirotox,wqbench",369,exact_filtered,Species
Physella acuta,7,Physa heterostropha,"envirotox,wqbench",136,exact_unaccepted_filtered,Species
Physella acuta,7,Physa integra,"anztox,envirotox,wqbench",34,exact_unaccepted_filtered,Species
Physella acuta,7,Physa acuta,anztox,13,exact_unaccepted_filtered,Species
Physella acuta,7,Physella virgata,wqbench,8,exact_unaccepted_filtered,Species
Physella acuta,7,Physa virgata,"envirotox,wqbench",6,exact_unaccepted_filtered,Species
Physella acuta,7,Physella integra,wqbench,4,exact_unaccepted_filtered,Species
Cyprinus carpio,4,Cyprinus carpio,"anztox,envirotox,wqbench",8249,exact_filtered,Species
Cyprinus carpio,4,Cyprinus carpio ssp. jian,wqbench,155,gbif_resolved,SPECIES
Cyprinus carpio,4,Cyprinus carpio communis,anztox,3,exact_unaccepted_filtered,Subspecies
Cyprinus carpio,4,Cyprinus carpio carpio,anztox,1,exact_unaccepted_filtered,Subspecies
Rasbora daniconius,4,Rasbora daniconius,"envirotox,wqbench",55,exact_filtered,Species
Rasbora daniconius,4,Rasbora daniconius neilgeriensis,"envirotox,wqbench",37,gbif_resolved,SPECIES
Rasbora daniconius,4,Rasbora daniconia,"anztox,envirotox",8,gbif_resolved,SPECIES
Rasbora daniconius,4,Rasbora neilgherriensis,"envirotox,wqbench",5,exact_unaccepted_filtered,Species
Tetradesmus obliquus,4,Scenedesmus acutus,"anztox,envirotox,wqbench",253,exact_unaccepted_filtered,Species
Tetradesmus obliquus,4,Scenedesmus bijugatus,wqbench,24,exact_unaccepted_filtered,Species
Tetradesmus obliquus,4,Scenedesmus obliquus,anztox,10,exact_unaccepted_filtered,Species
Tetradesmus obliquus,4,Tetradesmus obliquus,wqbench,1,exact_filtered,Species
Acanthopagrus schlegelii,3,Acanthopagrus schlegelii,"envirotox,wqbench",94,exact_filtered,Species
Acanthopagrus schlegelii,3,Acanthopagrus schlegeli,anztox,8,exact_unaccepted_filtered,Species
Acanthopagrus schlegelii,3,Sparus macrocephalus,wqbench,3,exact_unaccepted_filtered,Species
Austropotamobius pallipes,3,Austropotamobius pallipes,"envirotox,wqbench",32,exact_filtered,Species
Austropotamobius pallipes,3,Austropotamobius pallipes ssp. pallipes,wqbench,28,gbif_resolved,SPECIES
Austropotamobius pallipes,3,Austropotamobius pallipes pall,anztox,4,gbif_resolved,SPECIES
Barbonymus gonionotus,3,Barbonymus gonionotus,"envirotox,wqbench",84,exact_filtered,Species
