source,native_cas,casnumber_grouped,chemicalname_grouped,scientificname,medium,test_class,statistic_type,effect_category,duration_hours,life_stage,conc_value,conc_unit,acr_eligible,study_reference,source_id,acr_applied,within_source_duplicate,dedup_retained,priority_kept,dedup_note,resolved_kingdom,resolved_phylum,resolved_class,resolved_order,resolved_family,resolved_genus,taxonomy_provenance,status,manual_correction_applied,original_scientificname,accepted_name,synonym_unified,kingdom,phylum,class,order_taxon,family,genus,resolution_status,majorgroup
anztox,309002,309002,"Aldrin;(1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene",Lebistes gibbosus,Freshwater,acute,LC50,MORT,96,NA,20,ug/L,TRUE,"Van de Plassche, E.J., J.H.Canton, Y.A.Eijs, J.W.Everts, P.J.C.M.Jansseen, J.E.M. v. Koten-Vermeulen, M.D.Polder, R.Posthumus, J.M.de Stoppelaar (1994). Towards Integrated Environmental Quality Objectivies for Several Compounds with a Potential for Secondary Poisoning: Underlying Data .. National Institute of Public Helath and Envieonment Bilthoven, The Netherlands (Report no 679101 012): 1–130.",9090,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Lebistes gibbosus,Lebistes gibbosus,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,554007,554007,"2,4-Dichloroaniline;2,4-Dichloroaniline",Cpannonicus,Freshwater,acute,EC50,GRO,96,NA,15000,ug/L,TRUE,"Adema,D.M.M., J.H.Canton, W.Slooff, and A.O.Hanstveit (1981). Research for a Useful Combination of Test Methods to Determine the Aquatic Toxicity of Environmentally Dangerous Chemicals. (Consecutive System of... Rep. No. CL81/100, Natl. Inst. Public Health Environ. Hyg.: 1–107.",11156,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Cpannonicus,Cpannonicus,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,94757,94757,"2,4-Dichlorophenoxyacetic acid;(2,4-Dichlorophenoxy)acetic acid",-,Freshwater,acute,EC50,IMM,48,NA,37420,ug/L,TRUE,"Robertson,E.B. and D.L.Bunting (1976). The Acute Toxicity of Four Herbicides to 0-4 Hour Nauplii of Cyclops vernalis Fisher (Copepoda, Cyclopoida). Bull. Environ. Contam. Toxicol., 16(6): 682–688.",11189,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,-,-,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,94757,94757,"2,4-Dichlorophenoxyacetic acid;(2,4-Dichlorophenoxy)acetic acid",-,Freshwater,acute,EC50,IMM,96,NA,8720,ug/L,TRUE,"Robertson,E.B. and D.L.Bunting (1976). The Acute Toxicity of Four Herbicides to 0-4 Hour Nauplii of Cyclops vernalis Fisher (Copepoda, Cyclopoida). Bull. Environ. Contam. Toxicol., 16(6): 682–688.",11190,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,-,-,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,121142,121142,"2,4-Dinitrotoluene;1-Methyl-2,4-dinitrobenzene",Cpannonicus,Freshwater,acute,EC50,GRO,96,NA,1600,ug/L,TRUE,"Adema,D.M.M., J.H.Canton, W.Slooff, and A.O.Hanstveit (1981). Research for a Useful Combination of Test Methods to Determine the Aquatic Toxicity of Environmentally Dangerous Chemicals. (Consecutive System of... Rep. No. CL81/100, Natl. Inst. Public Health Environ. Hyg.: 1–107.",11319,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Cpannonicus,Cpannonicus,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,121142,121142,"2,4-Dinitrotoluene;1-Methyl-2,4-dinitrobenzene",Cpannonicus,Freshwater,acute,EC50,GRO,96,NA,2100,ug/L,TRUE,"Adema,D.M.M., J.H.Canton, W.Slooff, and A.O.Hanstveit (1981). Research for a Useful Combination of Test Methods to Determine the Aquatic Toxicity of Environmentally Dangerous Chemicals. (Consecutive System of... Rep. No. CL81/100, Natl. Inst. Public Health Environ. Hyg.: 1–107.",11320,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Cpannonicus,Cpannonicus,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,61825,61825,"Amitrole;1H-1,2,4-Triazol-3-amine",-,Freshwater,acute,EC50,IMM,48,NA,58500,ug/L,TRUE,"Robertson,E.B. and D.L.Bunting (1976). The Acute Toxicity of Four Herbicides to 0-4 Hour Nauplii of Cyclops vernalis Fisher (Copepoda, Cyclopoida). Bull. Environ. Contam. Toxicol., 16(6): 682–688.",12059,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,-,-,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,61825,61825,"Amitrole;1H-1,2,4-Triazol-3-amine",-,Freshwater,acute,EC50,IMM,96,NA,22100,ug/L,TRUE,"Robertson,E.B. and D.L.Bunting (1976). The Acute Toxicity of Four Herbicides to 0-4 Hour Nauplii of Cyclops vernalis Fisher (Copepoda, Cyclopoida). Bull. Environ. Contam. Toxicol., 16(6): 682–688.",12060,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,-,-,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,108952,108952,Phenol,Triogoma sp.,Freshwater,acute,LC50,MORT,48,NA,830000,ug/L,TRUE,"Kamshilov,M.M. and B.A.Flerov (1976). Experimental Research on Phenol Intoxication of Aquatic Organisms and Destruction of Phenol in Model Communities. In: D.I.Mount, W.R.Swain, N.K.Ivanikiw (Eds.), Proc. 1st and 2nd USA-USSR Symp. on Effects of Pollutants upon Aquatic Ecosystems, Duluth, MN: (U.S. NTIS PB-287-219): 181–192.",13073,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Triogoma sp.,Triogoma sp.,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,34014181,34014181,"Tebuthiuron;N-(5-tert-Butyl-1,3,4-thiadiazol-2-yl)-N,N'-dimethylurea",Algae,Freshwater,chronic,NOEC,NA,2191,NA,52,ug/L,FALSE,"Day,K.E. (1993). Short-Term Effects of Herbicides on Primary Productivity of Periphyton in Lotic Environments. Ecotoxicology, 2(2): 123–138.",17169,FALSE,FALSE,TRUE,TRUE,excluded from cross-source dedup -- NA in key field(s),NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Algae,Algae,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,58899,58899,"Lindane;(1R,2S,3r,4R,5S,6r)-1,2,3,4,5,6-Hexachlorocyclohexane",Algae,Freshwater,chronic,NOEC,PSE,672,NA,0.8,ug/L,FALSE,"Mitchell,G.C., D.Bennett, and N.Pearson (1993). Effects of Lindane on Macroinvertebrates and Periphyton in Outdoor Artificial Streams. Ecotoxicol. Environ. Saf., 25(1): 90–102.",17537,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Algae,Algae,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,2921882,2921882,"Chlorpyrifos;O,O-Diethyl O-(3,5,6-trichloropyridin-2-yl) phosphorothioate",Oxcillatoria spp.,Freshwater,chronic,NOEC,GRO,168,NA,100,ug/L,FALSE,"Barron, M.G., and Woodburn, K.B. (1995). Ecotoxicology of Chlorpyrifos. In: Ware, G.W. (ed), Reviews of Environmental Contamination and Toxicology, 141: 1–93.",18205,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Oxcillatoria spp.,Oxcillatoria spp.,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,100000004,100000004,Branched sulfonates,Invertebrates,Freshwater,chronic,NOEC,ABD,1344,NA,224,ug/L,FALSE,"Belanger, S.E., Meiers, E.M.,Bausch, R.G. (1995). Direct and indirect ecotoxicological effects of alkyl sulfate and alkyl ethoxysulfate on macroinvertebrates in stream mesocosms. Aquatic Toxicology, 33(1): 65–87.",19104,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Invertebrates,Invertebrates,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,100000003,100000003,Ethoxylated surfactants,Invertebrates,Freshwater,chronic,NOEC,ABD,1344,NA,251,ug/L,FALSE,"Belanger, S.E., Meiers, E.M.,Bausch, R.G. (1995). Direct and indirect ecotoxicological effects of alkyl sulfate and alkyl ethoxysulfate on macroinvertebrates in stream mesocosms. Aquatic Toxicology, 33(1): 65–87.",19116,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Invertebrates,Invertebrates,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,100000003,100000003,Ethoxylated surfactants,N. humilis,Freshwater,chronic,NOEC,NA,NA,NA,130,ug/L,FALSE,"Feijtel, T.C.J., and van de Plassche, E.J. (1995). Environmental Risk Characterization of 4 Major Surfactants Used in the Netherlands. Report No. 679101 025, National Institute of Public Health and Environmental Protection, Bilthoven, The Netherlands: 1–79.",19177,FALSE,FALSE,TRUE,TRUE,excluded from cross-source dedup -- NA in key field(s),NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,N. humilis,N. humilis,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,108952,108952,Phenol,Triogoma sp.,Freshwater,acute,LC50,MORT,48,NA,880000,ug/L,TRUE,"Kamshilov, M.M. and Flerov, B.A. (1978). Experimental Research on Phenol Intoxication of Aquatic Organisms and Destruction of Phenol in Model Communities. Procedings og the First and Second USA-USSR Symposium on Effects of Pollution on Aquatic Ecosystems, National Technical Information Systems, Springfield, V.A..",19420,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Triogoma sp.,Triogoma sp.,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,108952,108952,Phenol,Ensimulium sp.,Freshwater,acute,LC50,MORT,48,NA,16000,ug/L,TRUE,"Kamshilov, M.M. and Flerov, B.A. (1978). Experimental Research on Phenol Intoxication of Aquatic Organisms and Destruction of Phenol in Model Communities. Procedings og the First and Second USA-USSR Symposium on Effects of Pollution on Aquatic Ecosystems, National Technical Information Systems, Springfield, V.A..",19421,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Ensimulium sp.,Ensimulium sp.,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,7778509,7440473,Chromium,Chlorophycota,Marine,chronic,NOEC,GRO,96,NA,249.6,ug/L,FALSE,"Riedel,G.F. (1989). Interspecific and Geographical Variation of the Chromium Sensitivity of Algae. In: G.W.Suter II, and M.A.Lewis (Eds.), Aquatic Toxicology and Environmental Fate, 11th Vol., ASTM STP 1007, Philadelphia, PA: 537–548.",20888,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Chlorophycota,Chlorophycota,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,7778509,7440473,Chromium,Chlorophycota,Marine,chronic,NOEC,GRO,96,NA,38.48,ug/L,FALSE,"Riedel,G.F. (1989). Interspecific and Geographical Variation of the Chromium Sensitivity of Algae. In: G.W.Suter II, and M.A.Lewis (Eds.), Aquatic Toxicology and Environmental Fate, 11th Vol., ASTM STP 1007, Philadelphia, PA: 537–548.",20889,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Chlorophycota,Chlorophycota,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
anztox,7778509,7440473,Chromium,Chlorophycota,Marine,chronic,NOEC,GRO,96,NA,405.6,ug/L,FALSE,"Riedel,G.F. (1989). Interspecific and Geographical Variation of the Chromium Sensitivity of Algae. In: G.W.Suter II, and M.A.Lewis (Eds.), Aquatic Toxicology and Environmental Fate, 11th Vol., ASTM STP 1007, Philadelphia, PA: 537–548.",20890,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,no_taxonomy,unresolved,FALSE,Chlorophycota,Chlorophycota,FALSE,NA,NA,NA,NA,NA,NA,unresolved,NA
