original_scientificname,bucket,accepted_name,genus,resolution_status,taxonomy_provenance,sources,n_rows
Artemia parthenogenetica,floored_binomial,Artemia,Artemia,exact_unaccepted_filtered,worms_full,wqbench,62
Panagrellus silusiae,floored_binomial,Panagrellus,Panagrellus,gbif_resolved,gbif_full,wqbench,42
Hizikia fusiforme,floored_binomial,Hizikia,Hizikia,gbif_resolved,gbif_full,wqbench,29
Guignotus japonicus,floored_binomial,Guignotus,Hydroglyphus,gbif_resolved,gbif_full,wqbench,24
Pseudanabaena foetida,floored_binomial,Pseudanabaena,Pseudanabaena,gbif_resolved,gbif_full,wqbench,24
Echinisca triserialis,floored_binomial,Echinisca,Macrothrix,gbif_resolved,gbif_full,"envirotox, wqbench",13
Chrissia halyi,floored_binomial,Chrissia,Chrissia,gbif_resolved,gbif_full,wqbench,9
Poecilobdella viridis,floored_binomial,Poecilobdella,Poecilobdella,gbif_resolved,gbif_full,wqbench,6
Anacystis alpicola,floored_binomial,Anacystis,Anacystis,gbif_resolved,gbif_full,"envirotox, wqbench",4
Cochliopodium bilimbosum,floored_binomial,Cochliopodium,Cochliopodium,gbif_resolved,gbif_full,wqbench,4
Eurycyclops agilis,floored_binomial,Eurycyclops,Neocyclops,gbif_resolved,gbif_full,wqbench,4
Chaetocorophium lucasi,floored_binomial,Chaetocorophium,Chaetocorophium,gbif_resolved,gbif_full,wqbench,3
Mugil goorgii,floored_binomial,Mugil,Mugil,gbif_resolved,gbif_full,anztox,3
Barilius varga,floored_binomial,Barilius,Barilius,gbif_resolved,gbif_full,anztox,2
Belostoma indicum,floored_binomial,Belostoma,Belostoma,gbif_resolved,gbif_full,wqbench,2
Odagmia ornata,floored_binomial,Odagmia,Odagmia,gbif_resolved,gbif_full,envirotox,2
Sphaerodema annulatum,floored_binomial,Sphaerodema,Diplonychus,gbif_resolved,gbif_full,wqbench,2
Berosus afairmaiyi,floored_binomial,Berosus,Berosus,gbif_resolved,gbif_full,anztox,1
Coelambus novemlimeatus,floored_binomial,Coelambus,Coelambus,gbif_resolved,gbif_full,anztox,1
Oxytrema catenaria,floored_binomial,Oxytrema,Pleurocera,gbif_resolved,gbif_full,envirotox,1
Palaemonetes setiferus,floored_binomial,Palaemonetes,Palaemon,gbif_resolved,gbif_full,envirotox,1
Paramecium primaurelia,floored_binomial,Paramecium,Paramecium,gbif_resolved,gbif_full,wqbench,1
Salmo gardieri,floored_binomial,Salmo,Salmo,gbif_resolved,gbif_full,anztox,1
Skeletonema capricornutum,floored_binomial,Skeletonema,Skeletonema,gbif_resolved,gbif_full,anztox,1
Chlorella sp.,raw_genus_level,Chlorella sp.,Chlorella,genus_resolved,worms_full,"anztox, wqbench",476
Artemia sp.,raw_genus_level,Artemia sp.,Artemia,genus_resolved,worms_full,wqbench,410
Chironomus sp.,raw_genus_level,Chironomus sp.,Chironomus,genus_resolved,worms_full,wqbench,251
Palaemonetes sp.,raw_genus_level,Palaemonetes sp.,Palaemonetes,genus_resolved,worms_full,wqbench,212
Hexagenia sp.,raw_genus_level,Hexagenia sp.,Hexagenia,genus_resolved,worms_full,wqbench,161
Anabaena sp.,raw_genus_level,Anabaena sp.,Anabaena,genus_resolved,worms_full,wqbench,127
Scenedesmus sp.,raw_genus_level,Scenedesmus sp.,Scenedesmus,genus_resolved,worms_full,wqbench,126
Cyclops sp.,raw_genus_level,Cyclops sp.,Cyclops,genus_resolved,worms_full,wqbench,125
Synechocystis sp.,raw_genus_level,Synechocystis sp.,Synechocystis,genus_resolved,worms_full,wqbench,123
Chaoborus sp.,raw_genus_level,Chaoborus,Chaoborus,gbif_resolved,gbif_full,wqbench,121
Artemia sp,raw_genus_level,Artemia sp,Artemia,genus_resolved,worms_full,"anztox, envirotox",105
Ceriodaphnia sp.,raw_genus_level,Ceriodaphnia sp.,Ceriodaphnia,genus_resolved,worms_full,wqbench,100
Deleatidium sp.,raw_genus_level,Deleatidium,Deleatidium,gbif_resolved,gbif_full,wqbench,100
Xenopus sp.,raw_genus_level,Xenopus sp.,Xenopus,genus_resolved,worms_full,wqbench,100
Daphnia sp.,raw_genus_level,Daphnia sp.,Daphnia,genus_resolved,worms_full,wqbench,95
Caenis sp.,raw_genus_level,Caenis sp.,Caenis,genus_resolved,worms_full,wqbench,94
Corbicula sp.,raw_genus_level,Corbicula sp.,Corbicula,genus_resolved,worms_full,wqbench,94
Cloeon sp.,raw_genus_level,Cloeon sp.,Cloeon,genus_resolved,worms_full,wqbench,92
Chlorococcum sp.,raw_genus_level,Chlorococcum sp.,Chlorococcum,genus_resolved,worms_full,"anztox, wqbench",91
Chlamydomonas sp.,raw_genus_level,Chlamydomonas sp.,Chlamydomonas,genus_resolved,worms_full,wqbench,90
Symbiodinium sp.,raw_genus_level,Symbiodinium sp.,Symbiodinium,unresolved,source_native_fallback,wqbench,90
Procambarus sp.,raw_genus_level,Procambarus sp.,Procambarus,genus_resolved,worms_full,"anztox, wqbench",89
Microcystis sp.,raw_genus_level,Microcystis sp.,Microcystis,genus_resolved,worms_full,"anztox, wqbench",85
Lemna sp.,raw_genus_level,Lemna sp.,Lemna,genus_resolved,worms_full,wqbench,83
Nitzschia sp.,raw_genus_level,Nitzschia sp.,Nitzschia,genus_resolved,worms_full,wqbench,82
Palaemonetes sp,raw_genus_level,Palaemonetes sp,Palaemonetes,genus_resolved,worms_full,"anztox, envirotox",80
Rhithrogena sp.,raw_genus_level,Rhithrogena,Rhithrogena,gbif_resolved,gbif_full,wqbench,80
Cylindrospermum sp.,raw_genus_level,Cylindrospermum sp.,Cylindrospermum,genus_resolved,worms_full,wqbench,79
Lymnaea sp.,raw_genus_level,Lymnaea sp.,Lymnaea,genus_resolved,worms_full,wqbench,79
Oophila sp.,raw_genus_level,Oophila sp.,Oophila,genus_resolved,worms_full,wqbench,79
Orthocladiinae,raw_genus_level,Orthocladiinae,NA,exact_filtered,worms_full,wqbench,78
Chlorella sp,raw_genus_level,Chlorella sp,Chlorella,genus_resolved,worms_full,"anztox, envirotox",73
Cryptomonas sp.,raw_genus_level,Cryptomonas sp.,Cryptomonas,genus_resolved,worms_full,wqbench,72
Gammarus sp.,raw_genus_level,Gammarus sp.,Gammarus,genus_resolved,worms_full,wqbench,70
Hydropsyche sp.,raw_genus_level,Hydropsyche sp.,Hydropsyche,genus_resolved,worms_full,wqbench,69
Daphnia sp,raw_genus_level,Daphnia sp,Daphnia,genus_resolved,worms_full,"anztox, envirotox",66
Ictalurus sp,raw_genus_level,Ictalurus sp,Ictalurus,genus_resolved,worms_full,"anztox, envirotox",66
Synechococcus sp.,raw_genus_level,Synechococcus sp.,Synechococcus,genus_resolved,worms_full,wqbench,66
Najas sp.,raw_genus_level,Najas sp.,Najas,genus_resolved,worms_full,"anztox, wqbench",61
Gambusia sp.,raw_genus_level,Gambusia sp.,Gambusia,genus_resolved,worms_full,wqbench,60
Leptoxis sp.,raw_genus_level,Leptoxis sp.,Leptoxis,genus_resolved,worms_full,wqbench,60
Dunaliella sp.,raw_genus_level,Dunaliella sp.,Dunaliella,genus_resolved,worms_full,wqbench,59
Leptolyngbya sp.,raw_genus_level,Leptolyngbya sp.,Leptolyngbya,genus_resolved,worms_full,wqbench,59
Ankistrodesmus sp.,raw_genus_level,Ankistrodesmus sp.,Ankistrodesmus,genus_resolved,worms_full,wqbench,57
Culex sp.,raw_genus_level,Culex sp.,Culex,genus_resolved,worms_full,wqbench,56
Simocephalus sp.,raw_genus_level,Simocephalus sp.,Simocephalus,genus_resolved,worms_full,wqbench,56
Carassius sp.,raw_genus_level,Carassius sp.,Carassius,genus_resolved,worms_full,wqbench,55
Isonychia sp.,raw_genus_level,Isonychia,Isonychia,gbif_resolved,gbif_full,wqbench,52
Priopidichthys sp.,raw_genus_level,Priopidichthys,Priopidichthys,gbif_resolved,gbif_full,wqbench,52
Polypedilum sp.,raw_genus_level,Polypedilum sp.,Polypedilum,genus_resolved,worms_full,wqbench,49
Salvelinus sp.,raw_genus_level,Salvelinus sp.,Salvelinus,genus_resolved,worms_full,wqbench,49
Diporeia sp.,raw_genus_level,Diporeia sp.,Diporeia,genus_resolved,worms_full,wqbench,48
Lepidostoma sp.,raw_genus_level,Lepidostoma sp.,Lepidostoma,genus_resolved,worms_full,wqbench,48
Tilapia sp.,raw_genus_level,Tilapia sp.,Tilapia,genus_resolved,worms_full,wqbench,46
Alona sp.,raw_genus_level,Alona sp.,Alona,genus_resolved,worms_full,wqbench,45
Saccostrea sp.,raw_genus_level,Saccostrea sp.,Saccostrea,genus_resolved,worms_full,wqbench,45
Gyraulus sp.,raw_genus_level,Gyraulus sp.,Gyraulus,genus_resolved,worms_full,wqbench,44
Oscillatoria sp.,raw_genus_level,Oscillatoria sp.,Oscillatoria,genus_resolved,worms_full,wqbench,44
Asellus sp.,raw_genus_level,Asellus sp.,Asellus,genus_resolved,worms_full,wqbench,43
Baetis sp.,raw_genus_level,Baetis sp.,Baetis,genus_resolved,worms_full,wqbench,43
Cheumatopsyche sp.,raw_genus_level,Cheumatopsyche sp.,Cheumatopsyche,genus_resolved,worms_full,wqbench,42
Diatoma sp.,raw_genus_level,Diatoma sp.,Diatoma,unresolved,source_native_fallback,wqbench,42
Polyarthra sp.,raw_genus_level,Polyarthra sp.,Polyarthra,genus_resolved,worms_full,"anztox, wqbench",42
Chydorus sp.,raw_genus_level,Chydorus sp.,Chydorus,genus_resolved,worms_full,wqbench,40
Mytilus sp.,raw_genus_level,Mytilus sp.,Mytilus,genus_resolved,worms_full,wqbench,40
Peltodytes sp.,raw_genus_level,Peltodytes,Peltodytes,gbif_resolved,gbif_full,wqbench,39
Scapholeberis sp.,raw_genus_level,Scapholeberis sp.,Scapholeberis,genus_resolved,worms_full,wqbench,39
Paraleptophlebia sp.,raw_genus_level,Paraleptophlebia,Paraleptophlebia,gbif_resolved,gbif_full,wqbench,38
Perca sp.,raw_genus_level,Perca sp.,Perca,genus_resolved,worms_full,"anztox, wqbench",38
Cyanobium sp.,raw_genus_level,Cyanobium sp.,Cyanobium,genus_resolved,worms_full,wqbench,35
Ephemerella sp.,raw_genus_level,Ephemerella sp.,Ephemerella,unresolved,source_native_fallback,wqbench,35
Hyalella sp.,raw_genus_level,Hyalella sp.,Hyalella,genus_resolved,worms_full,wqbench,35
Maccaffertium sp.,raw_genus_level,Maccaffertium,Maccaffertium,gbif_resolved,gbif_full,wqbench,35
Tilapia sp,raw_genus_level,Tilapia sp,Tilapia,genus_resolved,worms_full,"anztox, envirotox",35
Chaetoceros sp.,raw_genus_level,Chaetoceros sp.,Chaetoceros,genus_resolved,worms_full,wqbench,33
Gomphonema sp.,raw_genus_level,Gomphonema,Gomphonema,gbif_resolved,gbif_full,wqbench,33
Limnephilus sp.,raw_genus_level,Limnephilus sp.,Limnephilus,genus_resolved,worms_full,wqbench,33
Tanypodinae,raw_genus_level,Tanypodinae,NA,exact_filtered,worms_full,wqbench,33
