casnumber_grouped,accepted_name,source,statistic_type,stat_tier,test_class,conc_ug_L
330541,Chironomus tentans,anztox,NOAEL,UNCLASSIFIED,chronic,1900
330541,Chironomus tentans,anztox,LOAEL,UNCLASSIFIED,chronic,1360
330541,Chironomus tentans,anztox,NOAEL,UNCLASSIFIED,chronic,3400
330541,Chironomus tentans,anztox,LOAEL,UNCLASSIFIED,chronic,2840
330541,Pimephales promelas,anztox,NOAEL,UNCLASSIFIED,chronic,8300
330541,Pimephales promelas,anztox,LOAEL,UNCLASSIFIED,chronic,6040
330541,Pimephales promelas,anztox,NOAEL,UNCLASSIFIED,chronic,31200
330541,Pimephales promelas,anztox,NOAEL,UNCLASSIFIED,chronic,15100
330541,Pimephales promelas,anztox,NOAEL,UNCLASSIFIED,chronic,4200
330541,Pimephales promelas,anztox,LOAEL,UNCLASSIFIED,chronic,3320
34014181,Dolichospermum flos-aquae,anztox,EC25,undefined_x_needs_ruling,chronic,1624
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,4280
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,10000
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,6320
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,6480
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,4760
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,6400
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,5800
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,2920
1071836,Lemna gibba,anztox,IC25,undefined_x_needs_ruling,chronic,4080
122349,Vallisneria americana,anztox,LOAEC,UNCLASSIFIED,chronic,23.2
122349,Vallisneria americana,anztox,NOAEC,UNCLASSIFIED,chronic,58
122349,Vallisneria americana,anztox,LOAEC,UNCLASSIFIED,chronic,46.4
122349,Vallisneria americana,anztox,NOAEC,UNCLASSIFIED,chronic,58
122349,Vallisneria americana,anztox,LOAEC,UNCLASSIFIED,chronic,137.6
122349,Vallisneria americana,anztox,NOAEC,UNCLASSIFIED,chronic,229
7440473,Lemna gibba,wqbench,IC25,undefined_x_needs_ruling,chronic,800
1912249,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,14.1
55335063,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,53.1
14808798,Ceriodaphnia dubia,wqbench,EC25,undefined_x_needs_ruling,chronic,542000
76040,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,73300
53826134,Chlorella vulgaris,wqbench,EC25,undefined_x_needs_ruling,chronic,2100
335671,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,80500
16887006,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,454000
16887006,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,520000
87865,Pimephales promelas,wqbench,IC25,undefined_x_needs_ruling,chronic,164
16887006,Oncorhynchus mykiss,wqbench,IC25,undefined_x_needs_ruling,chronic,1174000
7440508,Etheostoma fonticola,wqbench,IC25,undefined_x_needs_ruling,chronic,7.9
14808798,Raphidocelis subcapitata,wqbench,IC25,undefined_x_needs_ruling,chronic,2209560
56360,Oncorhynchus mykiss,wqbench,IC25,undefined_x_needs_ruling,chronic,0.691
14797558,Pimephales promelas,wqbench,IC25,undefined_x_needs_ruling,chronic,2000
7440439,Gastrophryne carolinensis,wqbench,LC30,undefined_x_needs_ruling,chronic,21.1
76051,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,129300.00000000001
16887006,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,1070000
7440508,Etheostoma fonticola,wqbench,IC25,undefined_x_needs_ruling,chronic,9.299999999999999
7439976,Lithobates heckscheri,wqbench,LC30,undefined_x_needs_ruling,chronic,45.3
7439976,Lithobates pipiens,wqbench,LC30,undefined_x_needs_ruling,chronic,8.1
7440508,Chironomus riparius,wqbench,IC25,undefined_x_needs_ruling,chronic,24
1912249,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,1293.1999999999998
7440508,Lemna gibba,wqbench,IC25,undefined_x_needs_ruling,chronic,870
16887006,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,1200000
7439987,Chironomus dilutus,wqbench,LC25,undefined_x_needs_ruling,chronic,1488000
7439987,Chironomus dilutus,wqbench,IC25,undefined_x_needs_ruling,chronic,1488000
7440508,Champia parvula,wqbench,IC25,undefined_x_needs_ruling,chronic,2.7
375859,Chironomus dilutus,wqbench,IC25,undefined_x_needs_ruling,chronic,3467.5
7778430,Gammarus pulex,wqbench,LC25,undefined_x_needs_ruling,chronic,613.5
94757,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,7.8
793248,Pimephales promelas,wqbench,LC25,undefined_x_needs_ruling,chronic,41
27854315,Chironomus tentans,wqbench,EC25,undefined_x_needs_ruling,chronic,440
76051,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,10000000
51235042,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,8000
355464,Chironomus dilutus,wqbench,IC25,undefined_x_needs_ruling,chronic,2165
87865,Cyprinella monacha,wqbench,IC25,undefined_x_needs_ruling,chronic,120
335671,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,46800
51235042,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,8000
793248,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,9
951659408,Hyalella azteca,wqbench,EC25,undefined_x_needs_ruling,chronic,11
100027,Scenedesmus acutus acutus,wqbench,EC40,undefined_x_needs_ruling,chronic,5000
70887944,Raphidocelis subcapitata,wqbench,EC25,undefined_x_needs_ruling,chronic,2000
79436,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,172800
52918635,Crangon septemspinosa,wqbench,IC25,undefined_x_needs_ruling,chronic,0.0104
793248,Pimephales promelas,wqbench,EC25,undefined_x_needs_ruling,chronic,35
76039,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,773700
319846,Oryzias latipes,wqbench,LC25,undefined_x_needs_ruling,chronic,1100
7439976,Gastrophryne carolinensis,wqbench,LC30,undefined_x_needs_ruling,chronic,1
56360,Americamysis bahia,wqbench,IC25,undefined_x_needs_ruling,chronic,0.23
14797558,Raphidocelis subcapitata,wqbench,IC25,undefined_x_needs_ruling,chronic,90
53826123,Chironomus tentans,wqbench,EC25,undefined_x_needs_ruling,chronic,48000
53826134,Daphnia magna,wqbench,LC25,undefined_x_needs_ruling,chronic,60
14797558,Pimephales promelas,wqbench,LC25,undefined_x_needs_ruling,chronic,1200
16887006,Pimephales promelas,wqbench,IC25,undefined_x_needs_ruling,chronic,704000
70887886,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,26000
5285609,Pimephales promelas,wqbench,EC25,undefined_x_needs_ruling,chronic,160
1071836,Lemna gibba,wqbench,IC25,undefined_x_needs_ruling,chronic,16200
63252,Desmonostoc muscorum,wqbench,LC25,undefined_x_needs_ruling,chronic,10350
210880925,Planorbella pilsbryi,wqbench,EC25,undefined_x_needs_ruling,chronic,3.7
28159980,Stuckenia pectinata,wqbench,IC25,undefined_x_needs_ruling,chronic,2.5380999999999903
76040,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,141100
2921882,Oncorhynchus mykiss,wqbench,IC25,undefined_x_needs_ruling,chronic,0.271
138261413,Hyalella azteca,wqbench,EC25,undefined_x_needs_ruling,chronic,2.22
79118,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,6000
12125029,Lampsilis siliquoidea,wqbench,IC25,undefined_x_needs_ruling,chronic,320
22204531,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,32
7440020,Catostomus commersonii,wqbench,LC25,undefined_x_needs_ruling,chronic,250
14808798,Raphidocelis subcapitata,wqbench,EC25,undefined_x_needs_ruling,chronic,1763000
101043372,Lampsilis siliquoidea,wqbench,LC25,undefined_x_needs_ruling,chronic,0.9700000000000001
51235042,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,38.5
7440439,Gastrophryne carolinensis,wqbench,LC30,undefined_x_needs_ruling,chronic,23
79118,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,5600
7439976,Aquarana grylio,wqbench,LC40,undefined_x_needs_ruling,chronic,63.1
7440508,Phaeodactylum tricornutum,wqbench,IC25,undefined_x_needs_ruling,chronic,2.1
7440508,Lemna gibba,wqbench,IC25,undefined_x_needs_ruling,chronic,740
94757,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,228.3
1912249,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,6.5
79572,Ceratophyllum demersum,wqbench,EC25,undefined_x_needs_ruling,chronic,148.8
7440508,Stigeoclonium helveticum,wqbench,IC25,undefined_x_needs_ruling,chronic,22.53
51235042,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,125
7440473,Lemna minor,wqbench,IC25,undefined_x_needs_ruling,chronic,550
7440439,Bufo punctatus,wqbench,LC40,undefined_x_needs_ruling,chronic,5681
111988499,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,33
7440508,Raphidocelis subcapitata,wqbench,IC25,undefined_x_needs_ruling,chronic,8.1
110861,Tubifex tubifex,wqbench,LC25,undefined_x_needs_ruling,chronic,2140
51235042,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,1274.7000000000003
82657043,Hyalella azteca,wqbench,EC25,undefined_x_needs_ruling,chronic,5e-4
