casnumber_grouped,accepted_name,medium,min_tier_rank,max_tier_rank,n_distinct_tiers
50000,Daphnia magna,Freshwater,1,3,3
50000,Daphnia magna,Unknown,1,3,3
50000,Micropterus salmoides,Freshwater,1,3,2
50000,Oncorhynchus mykiss,Freshwater,1,3,3
50000,Oreochromis niloticus,Freshwater,1,3,3
50000,Salmo salar,Freshwater,1,3,2
50180,Xenopus laevis,Freshwater,1,3,3
50215,Oreochromis mossambicus,Freshwater,1,3,3
50215,Oreochromis mossambicus,Unknown,1,3,2
50282,Oncorhynchus mykiss,Unknown,1,3,2
50293,Chironomus plumosus,Freshwater,1,3,2
50293,Crassostrea virginica,Marine,1,3,3
50293,Daphnia magna,Freshwater,1,3,3
50293,Daphnia magna,Unknown,1,3,2
50293,Fundulus heteroclitus,Unknown,1,3,2
50293,Gambusia holbrooki,Freshwater,1,3,2
50293,Oreochromis mossambicus,Freshwater,1,3,3
50328,Daphnia magna,Freshwater,2,3,2
50328,Haliotis diversicolor,Marine,1,3,3
50328,Xenopus laevis,Freshwater,2,3,2
50657,Daphnia magna,Unknown,1,3,2
50782,Danio rerio,Freshwater,1,3,2
51285,Cyprinodon variegatus,Unknown,1,3,2
51285,Daphnia magna,Freshwater,1,3,2
51285,Daphnia magna,Unknown,1,3,2
51285,Desmodesmus subspicatus,Freshwater,1,3,3
51285,Notopterus notopterus,Freshwater,1,3,3
51285,Oncorhynchus mykiss,Unknown,1,3,2
51285,Oryzias latipes,Freshwater,2,3,2
51285,Pimephales promelas,Freshwater,1,3,3
51285,Pimephales promelas,Unknown,1,3,2
51752,Ceriodaphnia dubia,Freshwater,1,3,3
51752,Ceriodaphnia dubia,Unknown,1,3,2
51752,Pimephales promelas,Freshwater,1,3,3
51752,Pimephales promelas,Unknown,1,3,2
52539,Daphnia magna,Freshwater,1,3,3
52539,Oncorhynchus mykiss,Freshwater,1,3,3
52568,Daphnia magna,Freshwater,1,3,3
52686,Carassius auratus,Freshwater,1,3,3
52686,Crassostrea virginica,Marine,2,3,2
52686,Cyprinus carpio,Freshwater,1,3,3
52686,Daphnia magna,Freshwater,2,3,2
52686,Daphnia magna,Unknown,1,3,3
52686,Macrobrachium rosenbergii,Freshwater,1,3,3
52686,Scenedesmus quadricauda,Unknown,1,3,2
52686,Trichogaster fasciata,Freshwater,1,3,3
53167,Danio rerio,Freshwater,1,3,3
54115,Oncorhynchus mykiss,Freshwater,1,3,3
54115,Oncorhynchus mykiss,Unknown,1,3,2
55389,Daphnia magna,Unknown,1,3,2
55389,Daphnia pulex,Freshwater,1,3,2
55389,Daphnia pulex,Unknown,1,3,2
56235,Chlamydomonas reinhardtii,Unknown,1,3,3
56235,Daphnia magna,Unknown,1,3,2
56360,Acartia (Acanthacartia) tonsa,Unknown,1,3,2
56360,Aedes aegypti,Freshwater,2,3,2
56360,Americamysis bahia,Marine,1,3,3
56360,Amphibalanus amphitrite,Marine,2,3,2
56360,Biomphalaria glabrata,Freshwater,2,3,2
56360,Caridina rajadhari,Freshwater,2,3,2
56360,Chironomus riparius,Freshwater,1,3,3
56360,Crassostrea virginica,Marine,1,3,2
56360,Cyprinodon variegatus,Unknown,1,3,2
56360,Danio rerio,Freshwater,1,3,3
56360,Daphnia magna,Freshwater,1,3,3
56360,Daphnia magna,Unknown,1,3,2
56360,Magallana gigas,Marine,2,3,2
56360,Monoraphidium griffithii,Freshwater,2,3,2
56360,Oncomelania hupensis quadrasi,Freshwater,1,3,3
56360,Oncorhynchus mykiss,Freshwater,1,3,3
56360,Oncorhynchus mykiss,Unknown,1,3,2
56360,Oryzias latipes,Freshwater,1,3,3
56360,Oryzias latipes,Unknown,1,3,2
56360,Ostrea edulis,Marine,2,3,2
56360,Poecilia reticulata,Freshwater,1,3,3
56360,Poecilia reticulata,Unknown,1,3,2
56360,Pyrocystis lunula,Marine,2,3,2
56360,Tritia reticulata,Marine,1,3,2
56360,Tubifex tubifex,Freshwater,2,3,2
56382,Crassostrea virginica,Marine,1,3,2
56382,Danio rerio,Freshwater,1,3,3
56382,Daphnia magna,Freshwater,1,3,3
56382,Daphnia magna,Unknown,1,3,2
56382,Desmodesmus subspicatus,Freshwater,1,3,3
56531,Daphnia magna,Unknown,1,3,2
56724,Crassostrea virginica,Marine,2,3,2
56724,Mercenaria mercenaria,Marine,2,3,2
56757,Mercenaria mercenaria,Marine,2,3,2
57090,Raphidocelis subcapitata,Unknown,1,3,2
57125,Ceriodaphnia dubia,Freshwater,1,3,3
57125,Ceriodaphnia dubia,Unknown,1,3,2
