endpoint_2016_raw,endpoint_2016_abbrev,endpoint_2016_norm,n_rows_2016,endpoint_2000_code,map_method,needs_review
Mortality,Mortality,mortality,997,MORT,rule_refined,FALSE
Cell density,Cell density,cell density,134,GRO,rule_refined,FALSE
Immobilisation,Immobilisation,immobilisation,101,IMM,rule_refined,FALSE
Chlorophyll-a,Chlorophyll-a,chlorophyll a,86,GRO,rule_refined,FALSE
Cell count,Cell count,cell count,74,GRO,rule_refined,FALSE
"Biomass Yield, Growth Rate, AUC","Biomass Yield, Growth Rate, AUC",biomass yield growth rate auc,67,GRO,rule_refined,FALSE
Abundance,Abundance,abundance,58,GRO,rule_refined,FALSE
Length,Length,length,55,GRO,rule_refined,FALSE
Biomass (Chl-a fluorescence),Biomass (Chl-a fluorescence),biomass chl a fluorescence,41,GRO,rule_refined,FALSE
"Biomass yield, Growth rate, AUC","Biomass yield, Growth rate, AUC",biomass yield growth rate auc,39,GRO,rule_refined,FALSE
Survival,Survival,survival,38,MORT,rule_refined,FALSE
Chlorophyll-a fluorescence,Chlorophyll-a fluorescence,chlorophyll a fluorescence,36,GRO,rule_refined,FALSE
Fresh Weight,Fresh Weight,fresh weight,34,GRO,rule_refined,FALSE
Dry Weight,Dry Weight,dry weight,33,GRO,rule_refined,FALSE
"Body Length, Dry Weight","Body Length, Dry Weight",body length dry weight,32,GRO,rule_refined,FALSE
Cell number,Cell number,cell number,27,GRO,rule_refined,FALSE
Shoot length,Shoot length,shoot length,27,GRO,rule_refined,FALSE
Body length/Dry weight,Body length/Dry weight,body length dry weight,26,GRO,rule_refined,FALSE
Chlorophyll,Chlorophyll,chlorophyll,25,GRO,rule_refined,FALSE
Biomass yield/Growth rate/AUC,Biomass yield/Growth rate/AUC,biomass yield growth rate auc,24,GRO,rule_refined,FALSE
Growth,Growth,growth,24,GRO,rule_refined,FALSE
Number of Shoots,Number of Shoots,number of shoots,23,GRO,rule_refined,FALSE
Total chlorophyll,Total chlorophyll,total chlorophyll,23,GRO,rule_refined,FALSE
Fluoresence,Fluoresence,fluoresence,22,GRO,manual_refined,FALSE
Fresh weight,Fresh weight,fresh weight,20,GRO,rule_refined,FALSE
Growth Rate,Growth Rate,growth rate,20,GRO,rule_refined,FALSE
Total frond number/Growth rate/Mortality,Total frond number/Growth rate/Mortality,total frond number growth rate mortality,20,MORT,rule_refined,FALSE
Frond count,Frond count,frond count,19,GRO,rule_refined,FALSE
Immobility,Immobility,immobility,18,IMM,rule_refined,FALSE
Mortality/Abnormal development,Mortality/Abnormal development,mortality abnormal development,18,MORT,rule_refined,FALSE
Biomass yield,Biomass yield,biomass yield,16,GRO,rule_refined,FALSE
Frond number,Frond number,frond number,16,GRO,rule_refined,FALSE
Photosynthesis,Photosynthesis,photosynthesis,16,PSE,rule_refined,FALSE
"Biomass yield, growth rate, area under the growth curve","Biomass yield, growth rate, area under the growth curve",biomass yield growth rate area under the growth curve,15,GRO,rule_refined,FALSE
Cell Density,Cell Density,cell density,15,GRO,rule_refined,FALSE
Fluorescence,Fluorescence,fluorescence,15,GRO,manual_refined,FALSE
Frond Count,Frond Count,frond count,15,GRO,rule_refined,FALSE
Wet weight,Wet weight,wet weight,15,GRO,rule_refined,FALSE
Brood size,Brood size,brood size,13,REP,rule_refined,FALSE
Leaf Area,Leaf Area,leaf area,13,GRO,manual_refined,FALSE
"Total frond number, growth rate, mortality","Total frond number, growth rate, mortality",total frond number growth rate mortality,13,MORT,rule_refined,FALSE
"Mortality, Abnormal Development","Mortality, Abnormal Development",mortality abnormal development,12,MORT,rule_refined,FALSE
Area under the curve (AUC),Area under the curve (AUC),area under the curve auc,11,GRO,rule_refined,FALSE
Frond (Longitudinal axis),Frond (Longitudinal axis),frond longitudinal axis,11,GRO,rule_refined,FALSE
Embryonic development,Embryonic development,embryonic development,10,DVP,rule_refined,FALSE
Frond (Transversal axis),Frond (Transversal axis),frond transversal axis,10,GRO,rule_refined,FALSE
"Frond Number/Size/Area, Dry Weight","Frond Number/Size/Area, Dry Weight",frond number size area dry weight,10,GRO,rule_refined,FALSE
Average cell number,Average cell number,average cell number,9,GRO,rule_refined,FALSE
"Biomass yield, growth rate, and the area under the growth curve","Biomass yield, growth rate, and the area under the growth curve",biomass yield growth rate and the area under the growth curve,8,GRO,rule_refined,FALSE
"Biomass, Growth Rate, AUC","Biomass, Growth Rate, AUC",biomass growth rate auc,8,GRO,rule_refined,FALSE
Snout to vent length,Snout to vent length,snout to vent length,8,GRO,rule_refined,FALSE
Weight,Weight,weight,8,GRO,rule_refined,FALSE
Algal cell viability (%),Algal cell viability (%),algal cell viability,7,MORT,manual_refined,FALSE
Average specific growth rate (cell density),Average specific growth rate (cell density),average specific growth rate cell density,7,GRO,rule_refined,FALSE
Cell counts,Cell counts,cell counts,7,GRO,rule_refined,FALSE
Blotted wet weight,Blotted wet weight,blotted wet weight,6,GRO,rule_refined,FALSE
ChlA content,ChlA content,chla content,6,GRO,manual_refined,FALSE
Chlorophyll a concentration,Chlorophyll a concentration,chlorophyll a concentration,6,GRO,rule_refined,FALSE
Days to first brood,Days to first brood,days to first brood,6,REP,rule_refined,FALSE
Number of broods per female,Number of broods per female,number of broods per female,6,REP,rule_refined,FALSE
Offspring production,Offspring production,offspring production,6,REP,rule_refined,FALSE
"Population growth: frond number, effects on frond size (dry weight or frond area)","Population growth: frond number, effects on frond size (dry weight or frond area)",population growth frond number effects on frond size dry weight or frond area,6,POP,rule_refined,FALSE
Cellular biovolume (dimension of cells & no. of cells),Cellular biovolume (dimension of cells & no. of cells),cellular biovolume dimension of cells no of cells,5,GRO,manual_refined,FALSE
Chlorophyll b concentration,Chlorophyll b concentration,chlorophyll b concentration,5,GRO,rule_refined,FALSE
Embryo length,Embryo length,embryo length,5,GRO,rule_refined,FALSE
Fecundity,Fecundity,fecundity,5,REP,rule_refined,FALSE
Fertilisation rate,Fertilisation rate,fertilisation rate,5,FERTILISATION,rule_refined,FALSE
Hydroid growth,Hydroid growth,hydroid growth,5,GRO,rule_refined,FALSE
Tail to length ratio,Tail to length ratio,tail to length ratio,5,GRO,rule_refined,FALSE
Time taken to release brood,Time taken to release brood,time taken to release brood,5,REP,rule_refined,FALSE
Abortion,Abortion,abortion,4,REP,rule_refined,FALSE
Biomass,Biomass,biomass,4,GRO,rule_refined,FALSE
Biomass (Fresh weight),Biomass (Fresh weight),biomass fresh weight,4,GRO,rule_refined,FALSE
Body length,Body length,body length,4,GRO,rule_refined,FALSE
Broods per female,Broods per female,broods per female,4,REP,rule_refined,FALSE
Cell Count,Cell Count,cell count,4,GRO,rule_refined,FALSE
Chl-a fluorescence,Chl-a fluorescence,chl a fluorescence,4,GRO,manual_refined,FALSE
Dry weight,Dry weight,dry weight,4,GRO,rule_refined,FALSE
Egg Hatching Success,Egg Hatching Success,egg hatching success,4,HAT,rule_refined,FALSE
Fresh Weight:Dry Weight,Fresh Weight:Dry Weight,fresh weight dry weight,4,GRO,rule_refined,FALSE
Frond Area,Frond Area,frond area,4,GRO,rule_refined,FALSE
Growth Inhibition,Growth Inhibition,growth inhibition,4,GRO,rule_refined,FALSE
Longevity,Longevity,longevity,4,MORT,rule_refined,FALSE
Mortality/Abnormal Development,Mortality/Abnormal Development,mortality abnormal development,4,MORT,rule_refined,FALSE
Shell length,Shell length,shell length,4,GRO,rule_refined,FALSE
Young per female,Young per female,young per female,4,REP,manual_refined,FALSE
Area under curve (AUC),Area under curve (AUC),area under curve auc,3,GRO,rule_refined,FALSE
Biomass (Dry weight),Biomass (Dry weight),biomass dry weight,3,GRO,rule_refined,FALSE
Cell Number,Cell Number,cell number,3,GRO,rule_refined,FALSE
Chl-a,Chl-a,chl a,3,GRO,manual_refined,FALSE
Divisions per day,Divisions per day,divisions per day,3,GRO,rule_refined,FALSE
Dry weight (chlorophyll-a),Dry weight (chlorophyll-a),dry weight chlorophyll a,3,GRO,rule_refined,FALSE
