Chemical,Species,Conc,Reference,Timeframe
Boron,Oncorhynchus mykiss,2.1,1,chronic
Boron,Ictalurus punctatus,2.4,1,chronic
Boron,Micropterus salmoides,4.1,1,chronic
Boron,Brachydanio rerio,10,1,chronic
Boron,Carassius auratus,15.6,1,chronic
Boron,Pimephales promelas,18.3,1,chronic
Boron,Daphnia magna,6,1,chronic
Boron,Opercularia bimarginata,10,1,chronic
Boron,Ceriodaphnia dubia,13.4,1,chronic
Boron,Entosiphon sulcatum,15,1,chronic
Boron,Chironomus decorus,20,1,chronic
Boron,Paramecium caudatum,20,1,chronic
Boron,Rana pipiens,20.4,1,chronic
Boron,Bufo fowleri,48.6,1,chronic
Boron,Bufo americanus,50,1,chronic
Boron,Ambystoma jeffersonianum,70.7,1,chronic
Boron,Ambystoma maculatum,70.7,1,chronic
Boron,Rana sylvatica ,70.7,1,chronic
Boron,Elodea canadensis,1,1,chronic
Boron,Spirodella polyrrhiza,1.8,1,chronic
Boron,Chlorella pyrenoidosa,2,1,chronic
Boron,Phragmites australis,4,1,chronic
Boron,Chlorella vulgaris,5.2,1,chronic
Boron,Selenastrum capricornutum,12.3,1,chronic
Boron,Scenedesmus subpicatus,30,1,chronic
Boron,Myriophyllum spicatum,34.2,1,chronic
Boron,Anacystis nidulans,50,1,chronic
Boron,Lemna minor ,60,1,chronic
Cadmium,Oncorhynchus mykiss,0.23,2,chronic
Cadmium,Salvelinus confluentus,0.83,2,chronic
Cadmium,Cottus bairdi,0.96,2,chronic
Cadmium,Salmo salar,0.99,2,chronic
Cadmium,Acipenser transmont anus,1.14,2,chronic
Cadmium,Prosopium williamsoni,1.25,2,chronic
Cadmium,Salmo trutta,1.36,2,chronic
Cadmium,Salvelinus fontinalis,2.23,2,chronic
Cadmium,Oncorhynchus tshawytscha,2.29,2,chronic
Cadmium,Pimephales promelas,2.36,2,chronic
Cadmium,Catostomus commersoni,7.75,2,chronic
Cadmium,Oncorhynchus kisutch,7.81,2,chronic
Cadmium,Salvelinus namaycush,8.03,2,chronic
Cadmium,Esox lucius,8.03,2,chronic
Cadmium,Daphnia magna,0.05,2,chronic
Cadmium,Ceriodaphnia reticulata,0.12,2,chronic
Cadmium,Hyalella azteca,0.12,2,chronic
Cadmium,Hydra viridissima,0.87,2,chronic
Cadmium,Chironomus tentans,0.96,2,chronic
Cadmium,Echinogammarus meridionalis,1.3,2,chronic
Cadmium,Atyae phyra desmarestii,1.32,2,chronic
Cadmium,Gammarus pulex,1.86,2,chronic
Cadmium,Daphnia pulex,2.07,2,chronic
Cadmium,Ceriodaphnia dubia,4.9,2,chronic
Cadmium,Lampsilis siliquoidea,5.12,2,chronic
Cadmium,Aeolosoma headleyi,14.7,2,chronic
Cadmium,Lymnaea stagnalis,18.9,2,chronic
Cadmium,Chironomus riparius,27.1,2,chronic
Cadmium,Lymnaea palustris,58.2,2,chronic
Cadmium,Rhithrogena hageni,2659,2,chronic
Cadmium,Erythemis simplicicollis,48400,2,chronic
Cadmium,Pachydiplax longipennis,76500,2,chronic
Cadmium,Ambystoma gracile,106,2,chronic
Cadmium,Ankistrodesmus falcatus,4.9,2,chronic
Cadmium,Pseudokirchneriella subcapitata,19.8,2,chronic
Cadmium,Lemna minor,79,2,chronic
Chloride,Pimephales promelas Fathead minnow,598,3,chronic
Chloride,Salmo trutta fario Brown trout,607,3,chronic
Chloride,Oncorhynchus mykiss Rainbow trout,989,3,chronic
Chloride,Xenopus laevis African clawed frog,1307,3,chronic
Chloride,Rana pipiens Northern leopard frog,3431,3,chronic
Chloride,Lampsilis fasciola Wavy-rayed lampmussel (COSEWIC special concern),24,3,chronic
Chloride,Epioblasma torulosa rangiana Northern riffleshell mussel (COSEWIC endangered),42,3,chronic
Chloride,Musculium securis Fingernail clam,121,3,chronic
Chloride,Daphnia ambigua Water flea,259,3,chronic
Chloride,Daphnia pulex Water flea,368,3,chronic
Chloride,Elliptio complanata Freshwater mussel,406,3,chronic
Chloride,Daphnia magna Water flea,421,3,chronic
Chloride,Hyalella azteca Amphipod,421,3,chronic
Chloride,Ceriodaphnia dubia Water flea,454,3,chronic
Chloride,Tubifex tubifex Oligochaete,519,3,chronic
