casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
79917901,1-Butyl-3-methylimidazolium chloride;1-Butyl-3-methyl-1H-imidazol-3-ium chloride,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
81406373,"Fluroxypyr-meptyl;Octan-2-yl [(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxy]acetate",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
81741288,Tributyltetradecylphosphonium chloride;Tributyl(tetradecyl)phosphanium chloride,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
82640048,[6-Hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]{4-[2-(piperidin-1-yl)ethoxy]phenyl}methanone-hydrogen chloride,,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
85100772,"1-Butyl-3-methylimidazolium bromide;1-Butyl-3-methyl-2,3-dihydro-1H-imidazole--hydrogen bromide (1/1)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
86393320,"Ciprofloxacin hydrochloride hydrate (1:1:1);1-Cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid--hydrogen chloride--water (1/1/1)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
87546187,"Flumiclorac-pentyl;Pentyl [2-chloro-5-(1,3-dioxo-1,3,4,5,6,7-hexahydro-2H-isoindol-2-yl)-4-fluorophenoxy]acetate",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
91296876,"Sarafloxacin hydrochloride;6-Fluoro-1-(4-fluorophenyl)-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid--hydrogen chloride (1/1)",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
93334157,"Fatty acids, Tallow, Reaction products with triethanolamine, Di-Me sulfate-quaternized",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
94201351,"1,7-NONADIEN-4-OL,2,4,8-TRIMETHYL, ACETATE;2,4,8-Trimethylnona-1,7-dien-4-yl acetate",,,,,,NOT PROCESSED - batch 6 (rows 251-287 of the Part 2 input) was not completed in this run; flagged by the user as failed and deferred to a separate follow-up pass.
