casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
50635,"Chloroquine bis(phosphate);Phosphoric acid--N~4~-(7-chloroquinolin-4-yl)-N~1~,N~1~-diethylpentane-1,4-diamine (2/1)",54-05-1,54051,Chloroquine,phosphate salt of organic base -> free base (antimalarial),high,
55481,"Atropine sulfate anhydrous (2:1) salt;Sulfuric acid--(1R,3r,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-phenylpropanoate (1/2)",51-55-8,51558,Atropine,sulfate salt of organic base -> free base (alkaloid),high,
55550,N-Methyl-p-aminophenol sulfate;Sulfuric acid--4-(methylamino)phenol (1/2),150-75-4,150754,4-(Methylamino)phenol,sulfate salt of organic base -> free base (photographic developer Metol),high,
55867,Nitrogen mustard hydrochloride;2-Chloro-N-(2-chloroethyl)-N-methylethan-1-amine--hydrogen chloride (1/1),51-75-2,51752,Mechlorethamine (nitrogen mustard),HCl salt of organic base -> free base,high,
55970,"N1,N1,N1,N6,N6,N6-Hexamethyl-1,6-hexanediaminium bromide (1:2)",55-97-0,55970,Hexamethonium bromide,"direct - no simpler parent: bis-quaternary ammonium salt, cation permanently charged",high,
56348,"Tetraethylammonium chloride;N,N,N-Triethylethanaminium chloride",56-34-8,56348,Tetraethylammonium chloride,"direct - no simpler parent: quaternary ammonium salt, cation is the active moiety",high,
56371,"Benzyltriethylammonium chloride;N-Benzyl-N,N-diethylethanaminium chloride",56-37-1,56371,Benzyltriethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
56575,4-Nitroquinoline 1-oxide,56-57-5,56575,4-Nitroquinoline 1-oxide,direct - no simpler parent: N-oxide is integral to the registered mutagen test chemical,high,
56939,"Benzyltrimethylammonium chloride;N,N,N-Trimethyl(phenyl)methanaminium chloride",56-93-9,56939,Benzyltrimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
57090,"Hexadecyltrimethylammonium bromide;N,N,N-Trimethylhexadecan-1-aminium bromide",57-09-0,57090,Hexadecyltrimethylammonium bromide (CTAB),direct - no simpler parent: quaternary ammonium salt,high,
